,Unnamed: 0,Unnamed: 1,Car,Image-Link,team
0,2012,0,Caterham CT01 Renault,https://upload.wikimedia.org/wikipedia/commons/c/c6/Heikki_Kovalainen_2012_Malaysia_FP2.jpg,Caterham F1
1,2012,1,Ferrari F2012,https://upload.wikimedia.org/wikipedia/commons/a/a0/2012_FERRARI_FERNANDO_ALONSON_NO5_AT_THE_YEONGAM_GRAND_PRIX_SOUTH_KOREA_OCT_%288212955835%29.jpg,Scuderia Ferrari SpA
2,2012,2,HRT F112 Cosworth,https://upload.wikimedia.org/wikipedia/commons/c/c1/Pedro_de_la_Rosa_2012_Malaysia_FP2.jpg,HRT F1 Team
3,2012,3,Lotus E20 Renault,https://upload.wikimedia.org/wikipedia/commons/7/77/Kimi_Raikkonen_2012_Malaysia_FP2.jpg,Lotus F1 Team
4,2012,4,Marussia MR01 Cosworth,https://upload.wikimedia.org/wikipedia/commons/f/f2/Charles_Pic_2012_Malaysia_FP1.jpg,Marussia F1 Team
5,2012,5,McLaren MP4-27 Mercedes,https://upload.wikimedia.org/wikipedia/commons/0/00/Jenson_Button_2012_Malaysia_FP2_1.jpg,McLaren International Ltd
6,2012,6,Mercedes AMG F1 W03,https://upload.wikimedia.org/wikipedia/commons/d/d8/Michael_Schumacher_pole_lap_monaco_2012.JPG,Mercedes AMG F1
7,2012,7,Red Bull RB8 Renault,https://upload.wikimedia.org/wikipedia/commons/3/30/Sebastian_Vettel_2012_Malaysia_FP2.jpg,Red Bull Racing
8,2012,8,Sahara Force India VJM05 Mercedes,https://upload.wikimedia.org/wikipedia/commons/f/fe/Nico_Hulkenberg_2012_Malaysia_FP1.jpg,Force India F1
9,2012,9,Sauber C31 Ferrari,https://upload.wikimedia.org/wikipedia/commons/e/e2/Sergio_Perez_2012_Malaysia_FP2.jpg,Sauber F1 Team
10,2012,10,Scuderia Toro Rosso STR7 Ferrari,https://upload.wikimedia.org/wikipedia/commons/c/c4/Daniel_Ricciardo_2012_Malaysia_FP2_1.jpg,Scuderia Toro Rosso
11,2012,11,Williams FW34 Renault,https://upload.wikimedia.org/wikipedia/commons/6/6d/Valtteri_Bottas_2012_Malaysia_FP1_2.jpg,Williams F1
12,2013,0,Caterham CT03 Renault,https://upload.wikimedia.org/wikipedia/commons/4/41/Charles_Pic_2013_Malaysia_FP1.jpg,Caterham F1
13,2013,1,Ferrari F138,https://upload.wikimedia.org/wikipedia/commons/0/02/Fernando_Alonso_2013_Malaysia_FP1.jpg,Scuderia Ferrari SpA
14,2013,2,Lotus E21 Renault,https://upload.wikimedia.org/wikipedia/commons/d/d3/Kimi_Raikkonen_2013_Malaysia_FP1.jpg,Lotus F1 Team
15,2013,3,Marussia MR02 Cosworth,https://upload.wikimedia.org/wikipedia/commons/e/e8/Jules_Bianchi_2013_Malaysia_FP1.jpg,Marussia F1 Team
16,2013,4,McLaren MP4-28 Mercedes,https://upload.wikimedia.org/wikipedia/commons/e/eb/Jenson_Button_2013_Malaysia_FP2_2.jpg,McLaren International Ltd
17,2013,5,Mercedes AMG F1 W04,https://upload.wikimedia.org/wikipedia/commons/f/fe/Lewis_Hamilton_2013_Malaysia_FP2_1.jpg,Mercedes AMG F1
18,2013,6,Infiniti Red Bull RB9 Renault,https://upload.wikimedia.org/wikipedia/commons/0/02/Sebastian_Vettel_2013_Malaysia_FP1.jpg,Red Bull Racing
19,2013,7,Sahara Force India VJM06 Mercedes,https://upload.wikimedia.org/wikipedia/commons/0/0b/Adrian_Sutil_2013_Malaysia_FP1.jpg,Force India F1
20,2013,8,Sauber C32 Ferrari,https://upload.wikimedia.org/wikipedia/commons/d/dc/Nico_Hulkenberg_2013_Malaysia_FP1.jpg,Sauber F1 Team
21,2013,9,Scuderia Toro Rosso STR8 Ferrari,https://upload.wikimedia.org/wikipedia/commons/e/e8/Jean-Eric_Vergne_2013_Malaysia_FP1.jpg,Scuderia Toro Rosso
22,2013,10,Williams FW35 Renault,https://upload.wikimedia.org/wikipedia/commons/a/a4/Valtteri_Bottas_2013_Malaysia_FP1.jpg,Williams F1
23,2014,0,Caterham CT05 Renault,https://upload.wikimedia.org/wikipedia/commons/f/fc/Kamui_Kobayashi_2014_Singapore_FP2.jpg,Caterham F1
24,2014,1,Ferrari F14 T,https://upload.wikimedia.org/wikipedia/commons/9/9b/Fernando_Alonso_2014_Singapore_FP2.jpg,Scuderia Ferrari SpA
25,2014,2,Lotus E22 Renault,https://upload.wikimedia.org/wikipedia/commons/2/2d/Pastor_Maldonado_2014_Singapore_FP3.jpg,Lotus F1 Team
26,2014,3,Marussia MR03 Ferrari,https://upload.wikimedia.org/wikipedia/commons/6/6e/Jules_Bianchi_Bahre%C3%AFn_2014.jpg,Marussia F1 Team
27,2014,4,McLaren MP4-29 Mercedes,https://upload.wikimedia.org/wikipedia/commons/b/b4/Mclaren_MP4-29_Jenson_Button_2014_F1_Chinese_GP.jpg,McLaren International Ltd
28,2014,5,Mercedes AMG F1 W05 Hybrid,https://upload.wikimedia.org/wikipedia/commons/6/6e/Mercedes_F1_W05_Hybrid_%28Lewis_Hamilton%29.jpg,Mercedes AMG F1
29,2014,6,Infiniti Red Bull RB10 Renault,https://upload.wikimedia.org/wikipedia/commons/f/f3/Sebastian_Vettel_2014_China_Race.jpg,Red Bull Racing
