fullname,permanentNumber,code,Constructors,points,wins
Nico Rosberg,6,ROS,Mercedes,25,1
Kevin Magnussen,20,MAG,McLaren,18,0
Jenson Button,22,BUT,McLaren,15,0
Fernando Alonso,14,ALO,Ferrari,12,0
Valtteri Bottas,77,BOT,Williams,10,0
Nico Hülkenberg,27,HUL,Force India,8,0
Kimi Räikkönen,7,RAI,Ferrari,6,0
Jean-Éric Vergne,25,VER,Toro Rosso,4,0
Daniil Kvyat,26,KVY,Toro Rosso,2,0
Sergio Pérez,11,PER,Force India,1,0
Adrian Sutil,99,SUT,Sauber,0,0
Esteban Gutiérrez,21,GUT,Sauber,0,0
Max Chilton,4,CHI,Marussia,0,0
Jules Bianchi,17,BIA,Marussia,0,0
Romain Grosjean,8,GRO,Lotus F1,0,0
Pastor Maldonado,13,MAL,Lotus F1,0,0
Marcus Ericsson,9,ERI,Caterham,0,0
Sebastian Vettel,5,VET,Red Bull,0,0
Lewis Hamilton,44,HAM,Mercedes,0,0
Felipe Massa,19,MAS,Williams,0,0
Kamui Kobayashi,10,KOB,Caterham,0,0
Daniel Ricciardo,3,RIC,Red Bull,0,0
Nico Rosberg,6,ROS,Mercedes,43,1
Lewis Hamilton,44,HAM,Mercedes,25,1
Fernando Alonso,14,ALO,Ferrari,24,0
Jenson Button,22,BUT,McLaren,23,0
Kevin Magnussen,20,MAG,McLaren,20,0
Nico Hülkenberg,27,HUL,Force India,18,0
Sebastian Vettel,5,VET,Red Bull,15,0
Valtteri Bottas,77,BOT,Williams,14,0
Kimi Räikkönen,7,RAI,Ferrari,6,0
Felipe Massa,19,MAS,Williams,6,0
Jean-Éric Vergne,25,VER,Toro Rosso,4,0
Daniil Kvyat,26,KVY,Toro Rosso,3,0
Sergio Pérez,11,PER,Force India,1,0
Romain Grosjean,8,GRO,Lotus F1,0,0
Adrian Sutil,99,SUT,Sauber,0,0
Esteban Gutiérrez,21,GUT,Sauber,0,0
Max Chilton,4,CHI,Marussia,0,0
Kamui Kobayashi,10,KOB,Caterham,0,0
Marcus Ericsson,9,ERI,Caterham,0,0
Jules Bianchi,17,BIA,Marussia,0,0
Pastor Maldonado,13,MAL,Lotus F1,0,0
